,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131
10,cycl,distinct,stag,sleep,time,night,certain,event,usual,place,stage,begin,drift,muscl,relax,experi,sensat,fall,sudden,jerk,awak,stage,light,sleep,wake,realiz,sleep,stag,mumbl,loud,speech,usual,unintellig,stage,character,progress,deeper,sleep,vital,sign,like,blood,pressur,heart,rate,drop,harder,awaken,stage,deeper,state,sleep,engag,sleep,walk,action,intent,final,stage,rapid,movement,sleep,stage,sleeper,report,dream,stage,peopl,liter,prevent,act,dream,accord,passag,stage,sleep,cycl,like,jolt,wake,start,speak,incoher,experi,reduc,heart,rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,million,dairi,cow,unit,state,major,jersey,holstein,adult,jersey,weigh,pound,averag,consum,pound,fee,lifetim,jersey,yield,pound,milk,milk,higher,butterfat,breed,favorit,maker,butter,chees,cream,holstein,cow,larger,jersey,distinguish,white,black,mark,matur,holstein,weigh,pound,consum,pound,fee,lifetim,holstein,approxim,pound,milk,develop,best,qualiti,breed,farmer,crossbre,jersey,holstein,cow,accord,passag,comparison,holstein,jersey,larger,averag,weight,requir,pound,food,daili,diet,provid,larger,total,quantiti,milk,lifetim,produc,milk,better,suit,product,high,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,chopstick,wide,food,utensil,china,thousand,year,knive,spoon,long,histori,food,utensil,west,addit,fork,tabl,cutleri,occur,recent,centuri,thousand,year,european,host,provid,dinner,guest,spoon,scoop,food,couldn,eat,finger,peopl,carri,knive,multi,purpos,tool,centuri,hunt,defens,food,rais,mouth,ancient,greec,long,kitchen,tool,remov,meat,boil,cauldron,fork,relat,late,catch,europ,year,fork,start,employ,europ,candi,fruit,avoid,touch,food,stain,finger,centuri,tabl,fork,evolv,straight,curv,tin,facilit,scoop,keep,food,fall,reach,mouth,accord,passag,earliest,fork,weapon,cook,tool,avoid,stain,finger,rais,food,mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,peopl,communic,inform,nonverb,addit,word,abl,interpret,bodi,languag,invalu,skill,widen,eye,narrow,brow,exampl,suggest,peopl,afraid,bite,lip,anxieti,intens,touch,fingertip,opposit,hand,convey,self,assur,touch,nose,rais,shoulder,suggest,lie,peopl,stress,blink,eye,rapid,squint,eye,hand,discrep,say,verbal,nonverb,messag,bodi,languag,accur,base,passag,follow,action,suggest,person,decept,touch,nose,widen,eye,rub,hand,touch,fingertip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,grow,potato,garbag,easi,week,plant,place,seed,potato,warm,place,sprout,potato,chunk,sprout,chunk,drill,drainag,hole,gallon,plastic,garbag,pot,soil,buri,chunk,soil,eye,point,deep,water,garbag,direct,sunlight,plant,tall,layer,soil,leav,expos,plant,grow,add,soil,water,leav,turn,yellow,stop,water,leav,plant,week,harvest,releas,potato,accord,passag,step,grow,potato,garbag,buri,chunk,potato,pot,soil,drill,drainag,hole,garbag,place,seed,potato,warm,place,sprout,potato,chunk,wait,sprout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,rich,creami,chees,flan,delici,easi,preheat,oven,degre,caramel,cook,sugar,quarter,water,saucepan,stir,turn,golden,brown,minut,quick,pour,caramel,sugar,deep,dish,plate,tilt,coat,side,custard,blender,ounc,soften,cream,chees,egg,ounc,sweeten,condens,milk,ounc,evapor,milk,quarter,milk,pinch,salt,tablespoon,vanilla,pour,custard,mixtur,caramel,coat,plate,place,plate,larg,roast,water,roast,depth,halfway,plate,bake,hour,care,remov,plate,water,bath,chill,hour,follow,best,summar,step,recip,custard,caramel,bake,chill,custard,chill,caramel,bake,caramel,custard,chill,bake,caramel,custard,bake,chill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,time,insert,ignit,complex,step,place,order,engin,start,piston,automobil,engin,begin,move,ultim,engin,motion,sourc,energi,origin,hand,crank,provid,energi,turn,hand,crank,labor,intens,danger,fortun,process,easier,safer,invent,electr,starter,electr,starter,use,energi,batteri,turn,flywheel,connect,engin,flywheel,turn,start,motion,piston,electr,starter,start,easi,turn,base,passag,happen,energi,provid,piston,start,hand,crank,piston,engin,begin,current,batteri,flow,starter,flywheel,connect,engin,begin,turn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,child,year,brain,increas,adult,weight,rapid,brain,growth,begin,newborn,event,brain,develop,take,place,birth,neural,tube,differenti,soon,brain,format,organ,synaps,help,form,connect,nerv,impuls,begin,birth,synapt,densiti,increas,quick,connect,elimin,redund,underus,month,birth,myelin,brain,neuron,begin,myelin,brain,cell,control,basic,surviv,reflex,near,complet,birth,final,myelin,process,frontal,lob,complet,earli,adolesc,follow,event,human,brain,develop,occur,prior,birth,elimin,redund,synaps,growth,adult,brain,weight,complet,myelin,frontal,lob,near,complet,myelin,surviv,reflex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,make,footbal,hand,step,process,includ,qualiti,control,check,main,step,piec,tan,leather,ident,panel,reduc,panel,specifi,thick,weight,punch,hole,panel,mark,locat,lace,insert,point,inflat,needl,line,panel,footbal,complet,line,prevent,panel,stretch,step,panel,insid,turn,footbal,right,rubber,bladder,insert,lace,final,add,step,inflat,ball,base,passag,order,main,step,occur,handmad,footbal,turn,right,insert,bladder,lace,inflat,ball,punch,hole,panel,line,line,punch,hole,panel,line,panel,insert,bladder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,defend,wicket,sound,like,unusu,thing,necessari,action,play,sport,cricket,cricket,play,field,central,area,call,pitch,pitch,wicket,compos,inch,tall,wooden,stump,rest,horizont,stick,bail,wicket,protect,batsman,start,play,bowler,oppos,team,throw,ball,wicket,attempt,knock,bail,batsman,protect,wicket,tri,ball,away,ball,field,batter,run,opposit,pitch,exchang,posit,batsman,teammat,batter,player,bowler,team,retriev,ball,knock,bail,wicket,batter,teammat,reach,destin,accord,passag,bowler,begin,game,hit,stump,throw,ball,wicket,bat,ball,away,wicket,run,opposit,pitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,import,process,natur,water,cycl,includ,primari,step,water,releas,cloud,call,precipit,form,rain,sleet,hail,snow,precipit,flow,downhil,grind,underground,eventu,collect,river,ocean,bodi,water,water,call,runoff,water,earth,surfac,eventu,warm,heat,chang,liquid,water,water,vapor,step,call,evapor,water,vapor,enter,atmospher,gaseous,vapor,form,rise,cloud,water,vapor,cool,chang,water,droplet,form,cloud,know,condens,accord,passag,follow,list,main,step,water,cycl,correct,order,precipit,evapor,condens,evapor,precipit,condens,condens,precipit,evapor,evapor,precipit,condens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,presidenti,primari,elect,hold,nomin,candid,major,polit,parti,general,elect,peopl,consid,presidenti,primari,candid,determin,voter,support,actual,announc,intent,start,tradit,announc,creat,exploratori,committe,committe,help,potenti,candid,survey,potenti,voter,opinion,common,refer,opinion,poll,exploratori,phase,potenti,presidenti,candid,travel,differ,state,meet,possibl,support,start,rais,money,campaign,offici,presid,individu,file,appropri,document,feder,elect,commiss,accord,passag,step,take,individu,consid,presidenti,primari,form,team,investig,feasibl,campaign,declar,candidaci,hold,announc,event,nomin,major,polit,parti,regist,candid,feder,elect,commiss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,eutroph,occur,excess,nutrient,common,nitrat,phosphat,add,ecosystem,nutrient,present,bodi,water,excess,alga,produc,alga,make,difficult,aquat,ecosystem,function,proper,decay,alga,oxygen,present,water,oxygen,live,thing,fish,shellfish,furthermor,alga,creat,toxin,hazard,anim,ingest,eutroph,particular,lake,occur,natur,time,process,acceler,human,activ,runoff,fertil,farm,discharg,sewer,common,caus,eutroph,base,passag,happen,excess,nutrient,present,aquat,ecosystem,aquat,speci,begin,surplus,alga,produc,oxygen,level,reduc,harm,toxin,creat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,project,nightmar,follow,correct,procedur,mistak,homeown,embark,project,take,time,proper,plan,consid,project,start,list,materi,suppli,need,conduct,research,project,gather,instruct,credibl,sourc,need,list,safeti,consider,purchas,safeti,equip,need,project,respir,goggl,gather,materi,understand,instruct,begin,work,project,need,sure,follow,step,accur,affect,budget,schedul,accord,passag,start,project,obtain,detail,project,instruct,list,suppli,materi,need,research,similar,project,purchas,necessari,safeti,equip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,cardiff,giant,greatest,archaeolog,hoax,perpetr,histori,giant,say,petrifi,remain,measur,feet,height,unearth,cardiff,york,hoax,instig,name,georg,hull,commiss,carv,statu,block,gypsum,discoveri,announc,william,newel,newel,claim,giant,genuin,fact,know,arrang,hull,fake,giant,buri,farm,giant,discov,hire,newel,statu,authent,quick,refut,scientist,cardiff,giant,profit,tourist,attract,month,attent,truth,cardiff,giant,final,expos,giant,appeal,public,dissip,word,spread,giant,true,origin,follow,event,happen,immedi,newel,hire,digger,peopl,pay,giant,fake,giant,unearth,statu,buri,farm,scientist,declar,statu,fake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,make,paper,creativ,excit,hobbi,initi,need,construct,mold,simpli,piec,wire,mesh,stapl,wooden,frame,step,creat,homemad,paper,shred,scrap,paper,small,piec,place,blender,water,past,pour,past,mix,bowl,point,option,allow,creativ,shine,fresh,flower,dri,herb,swirl,food,color,paper,uniqu,pour,mixtur,mold,press,mesh,firm,hand,mixtur,overnight,slowli,peel,wire,mesh,final,product,make,thought,origin,inexpens,gift,accord,passag,make,homemad,paper,option,ingredi,immedi,pour,past,mix,bowl,peel,mixtur,wire,mesh,stapl,wire,mesh,wooden,frame,add,piec,scrap,paper,blender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,difficult,believ,conquistador,bring,largest,empir,south,america,close,occur,pizarro,spain,defeat,inca,event,weaken,incan,empir,pizarro,take,shoot,begin,inca,conquer,tribe,andes,region,keep,territori,conquer,enemi,control,requir,constant,vigil,small,group,incan,ruler,smallpox,sweep,empir,kill,thousand,includ,inca,king,die,leav,successor,result,civil,competitor,battl,leadership,debilit,empir,pizarro,ambush,captur,inca,king,capit,citi,cusco,extract,huge,amount,gold,silver,ransom,king,later,execut,accord,passag,major,event,weaken,inca,empir,pizarro,arriv,decim,inca,smallpox,epidem,civil,success,inca,throne,captur,inca,king,gold,silver,expans,territori,inca,rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,middl,age,peopl,rare,leav,villag,marco,polo,travel,trade,rout,visit,court,kublai,khan,mongol,ruler,china,educ,young,polo,know,languag,impress,khan,appoint,polo,serv,member,court,khan,send,polo,diplomat,mission,part,empir,give,polo,opportun,observ,chines,invent,silk,paper,make,paper,currenc,year,polo,want,return,home,itali,khan,grant,permiss,provid,polo,accompani,mongol,princess,persia,marri,arriv,home,polo,write,adventur,stori,strang,peopl,refus,believ,true,accord,passag,event,occur,marco,polo,return,itali,polo,write,book,experi,polo,escort,mongol,princess,persia,polo,send,diplomat,mission,china,polo,observ,number,chines,invent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,write,defin,sign,record,speak,languag,write,develop,independ,time,similar,sequenc,step,globe,prehistor,time,human,communic,visual,pictograph,draw,repres,object,europ,exampl,circl,line,radiat,outward,denot,gradual,peopl,develop,ideogram,abstract,symbol,repres,concept,aztec,instanc,symbol,shield,club,signifi,part,world,peopl,start,logogram,sign,repres,word,part,word,indic,pronunci,best,know,exampl,chines,japanes,charact,final,develop,histori,write,alphabet,symbol,mean,mere,stand,differ,sound,principl,appli,develop,write,languag,base,passag,peopl,typic,invent,right,develop,pictograph,symbol,communic,idea,charact,repres,object,alphabet,stand,unit,sound,logogram,express,part,word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,walli,desper,need,reliabl,know,shouldn,loan,learn,better,manag,financ,walli,decid,creat,person,budget,pull,financi,record,record,regular,sourc,incom,cash,inflow,notebook,jot,month,cash,outflow,break,fix,expens,includ,rent,insur,payment,variabl,spend,includ,groceri,util,bill,discretionari,spend,includ,entertain,recreat,walli,discov,outflow,exceed,inflow,realiz,need,reduc,discretionari,spend,generat,incom,soon,cancel,membership,second,today,walli,proud,owner,base,passag,walli,immedi,realiz,spend,decid,borrow,money,reduc,discretionari,spend,note,regular,sourc,incom,record,fix,expens,categori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,hire,dutch,shorter,rout,india,english,explor,henri,hudson,sail,west,end,york,spur,report,potenti,lucrat,trade,dutch,west,india,compani,send,settler,establish,coloni,name,amsterdam,manhattan,york,soon,dutch,found,nearbi,communiti,present,brooklyn,queen,staten,island,bronx,build,fort,protect,coloni,conflict,english,nativ,american,oppos,expans,british,warship,appear,amsterdam,peter,stuyves,governor,coloni,persuad,petit,lead,citizen,surrend,peac,coloni,renam,york,duke,york,brother,british,king,dutch,influenc,linger,today,base,passag,immedi,creat,settlement,manhattan,dutch,sail,york,petit,duke,york,attack,british,warship,establish,addit,communiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,travel,help,limit,oneself,singl,piec,luggag,success,strategi,import,learn,pack,effici,begin,lay,plan,roll,item,cloth,neat,cylind,maxim,space,minim,wrinkl,stuff,sock,underwear,shoe,place,edg,suitcas,place,roll,heavier,cloth,pant,jacket,follow,roll,lighter,weight,item,shirt,top,form,second,layer,small,space,belt,charger,littl,accessori,place,travel,size,toiletri,tight,final,secur,intern,strap,item,shift,travel,accord,author,immedi,pack,shoe,suitcas,space,small,accessori,roll,item,cloth,cylind,form,second,layer,shirt,top,place,roll,heavier,cloth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,natur,ecosystem,plant,perfect,adapt,exist,soil,condit,creat,backyard,veget,garden,soil,probabl,need,help,begin,test,nutrient,level,soil,soil,test,determin,soil,amend,need,remov,exist,weed,unwant,plant,materi,loosen,soil,dig,inch,turn,soil,shovel,rent,rototil,step,easier,fourth,step,compost,nutrient,soil,determin,soil,test,amend,inch,soil,creat,smooth,uniform,surfac,rake,soil,remov,stick,rock,debri,sound,like,work,rememb,healthi,plant,grow,healthi,soil,accord,passag,add,soil,amend,loosen,soil,rake,surfac,soil,remov,weed,soil,test,nutrient,level,exist,soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,poet,vachel,lindsay,eat,dinner,hotel,washington,slip,poem,plate,lindsay,impress,poem,share,audienc,read,later,even,newspap,countri,report,lindsay,discoveri,poet,langston,hugh,go,publish,collect,poetri,weari,blue,attract,consider,attent,innov,music,rhythm,inclus,blue,lyric,focus,strength,determin,black,peopl,america,year,follow,encount,lindsay,hugh,lead,writer,harlem,renaiss,cultur,movement,african,american,music,literatur,flourish,passag,suggest,poet,vachel,lindsay,publish,hugh,poem,help,hugh,wide,recogn,teach,hugh,fuse,music,rhythm,vers,recogn,hugh,lead,poet,harlem,renaiss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,begin,twentieth,centuri,automobil,consid,luxuri,item,rich,chang,industrialist,henri,ford,introduc,model,purchas,price,model,practic,reliabl,mean,transport,averag,worker,afford,ford,revolution,industri,adopt,move,assembl,line,decreas,product,time,dramat,lower,price,model,sale,skyrocket,horsepow,engin,yield,speed,mile,hour,model,avail,build,engin,frame,market,share,model,begin,declin,compet,automak,offer,bigger,power,luxuri,car,product,halt,passag,suggest,model,status,symbol,wealthi,mass,produc,avail,engin,size,power,previous,car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,drama,develop,form,theater,fourteenth,centuri,japan,incorpor,buddhist,teach,continu,virtual,form,today,perform,combin,act,sing,music,danc,tell,stori,usual,take,tradit,literatur,tone,content,usual,tragic,stage,squar,wooden,platform,undecor,singl,pine,tree,paint,backdrop,general,actor,support,actor,open,drama,describ,scene,princip,actor,wear,mask,reenact,tale,high,styliz,movement,chorus,seat,edg,stage,sing,line,accompani,flute,drum,program,last,includ,work,interspers,brief,play,provid,comic,relief,passag,suggest,drama,follow,rigid,tradit,rule,longer,perform,japan,involv,larg,cast,perform,character,realism,humor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,accord,nasa,generat,high,technic,farmer,precis,farmer,reli,satellit,aircraft,manag,crop,mean,wheat,farmer,global,posit,monitor,tractor,pinpoint,exact,locat,field,earli,day,famili,farm,farmer,practic,experi,manag,crop,knowledg,weather,variabl,schedul,irrig,exampl,farm,spread,thousand,acr,farmer,need,satellit,base,remot,sens,monitor,wide,rang,variabl,affect,crop,soil,moistur,surfac,temperatur,pest,infest,precis,farm,reduc,cost,target,fertil,seed,water,pesticid,precis,need,author,like,mention,earli,day,famili,farm,critic,famili,farm,ineffici,wast,recommend,modern,farmer,return,simpler,way,past,explain,earlier,farm,manag,strategi,longer,adequ,suggest,precis,farm,techniqu,benefit,famili,farm,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,aromatherapi,skin,care,product,market,claim,improv,person,strengthen,bodi,self,defens,mechan,revers,sign,age,accord,food,drug,administr,perfum,tradit,consid,cosmet,cosmet,cleans,beautifi,promot,attract,alter,appear,hand,product,intend,diagnosi,mitig,treatment,prevent,diseas,intend,affect,structur,function,bodi,consid,drug,requir,premarket,approv,product,meet,definit,cosmet,drug,exampl,antidandruff,shampoo,cosmet,cleans,hair,drug,treat,dandruff,compani,violat,market,cosmet,drug,vice,versa,accord,passag,follow,product,consid,cosmet,drug,guidelin,fade,resist,condit,hair,color,anti,age,night,cream,glycol,acid,roman,chamomil,essenti,sedat,caviti,protect,toothpast,whiten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,feder,trade,commiss,cool,rule,intend,protect,consum,confus,work,accord,cool,rule,give,day,cancel,purchas,appli,purchas,home,workplac,purchas,facil,rent,seller,convent,center,fairground,product,parti,give,privat,home,cool,rule,appli,sale,seller,usual,place,busi,exempt,cool,rule,sale,motor,vehicl,temporari,locat,provid,seller,perman,place,busi,exempt,exist,case,rule,appli,seller,provid,proper,cancel,form,sale,contract,receipt,accord,passag,cool,rule,appli,follow,purchas,necklac,purchas,neighbor,product,parti,magazin,subscript,purchas,offic,annual,fit,membership,purchas,pellet,stave,purchas,stave,fireplac,store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,sportsunit,intern,sport,program,initi,design,help,start,dialogu,grassroot,level,elit,young,athlet,program,youth,discov,success,athlet,translat,develop,life,skill,achiev,classroom,foreign,particip,give,opportun,establish,link,sport,profession,exposur,american,life,cultur,exchang,american,learn,foreign,cultur,challeng,young,peopl,countri,face,today,exampl,select,foreign,athlet,bring,technic,sport,train,sport,manag,train,conflict,resolut,train,visitor,encourag,appli,newli,learn,skill,conduct,youth,clinic,countri,follow,passag,suggest,outcom,sportsunit,program,visitor,adopt,american,belief,custom,visitor,continu,involv,sportsunit,initi,visitor,promot,youth,sport,program,countri,visitor,creat,profession,sport,team,countri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,follow,excerpt,alic,wonderland,lewi,carrol,alic,begin,tire,sit,sister,bank,have,twice,peep,book,sister,read,pictur,convers,book,think,alic,pictur,convers,consid,mind,feel,sleepi,stupid,pleasur,make,daisi,chain,worth,troubl,get,pick,daisi,sudden,white,rabbit,pink,eye,close,alic,refer,book,pictur,convers,suggest,alic,know,read,bore,book,sister,read,get,sleepi,enjoy,read,book,wish,sister,choos,easier,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
