,0
10," TO9 A2000500 D
A2090010 D
0010.	While we cycle through five distinct stages of sleep several times every night, certain events usually take place. In stage one, we begin to drift off. As our muscles relax, we may experience a sensation of falling and suddenly jerk awake. Stage two is such a light sleep that, if woken, we may not realize we were sleeping. During stages one and two, we may mumble out loud, although our speech is usually unintelligible. Stage three is characterized by progressively deeper sleep, and vital signs, like our blood pressure and heart rate, will drop. We'll also be harder to awaken. Stage four is an even deeper state of sleep, during which we might engage in sleep walking or other actions that seem intentional. The final stage, rapid eye movement (REM) sleep, is the stage when most sleepers report dreaming. Throughout this stage most people literally cannot move, and are thus prevented from acting out their dreams.

According to the passage, during stage three of the sleep cycle, we are likely to

A.	get up and move around.
B.	jolt back into wakefulness.
C.	start speaking incoherently.
D.	experience reduced heart rate.
"
11," TO9 A2000501 D
A2090011 D
0011.	There are millions of dairy cows in the United States, and the majority of them are Jerseys and Holsteins. An adult Jersey cow weighs about 900 to 1,200 pounds, on average, and consumes over 50 pounds of feed a day. Throughout a lifetime, a Jersey cow can yield about 13,000 pounds of milk. Because this milk is higher in butterfat than that of any other breed, it is a favorite among makers of butter, cheese, and ice cream. Holstein cows are larger than Jerseys and are distinguished by their white and black markings. A mature Holstein cow, which weighs about 1,500 pounds, consumes more than 92 pounds of feed a day. During a lifetime, a Holstein can give approximately 20,000 pounds of milk. To develop the best qualities of each breed, some farmers are now crossbreeding Jersey and Holstein cows.

According to the passage, in comparison with a Holstein cow, a Jersey cow

A.	is larger in average weight.
B.	requires more pounds of food in its daily diet.
C.	provides a larger total quantity of milk over its lifetime.
D.	produces milk better suited for products with a high fat content.
"
12," TO9 A2000502 B
A2090012 B
0012.	Chopsticks have been widely used as food utensils in China for thousands of years. Knives and spoons have a long history as food utensils in the West. But the addition of the fork to table cutlery occurred only in recent centuries. About a thousand years ago, European hosts provided dinner guests with spoons to scoop up foods that couldn't be eaten with fingers. Most people carried their own knives -- multi-purpose tools used for centuries to hunt and for defense -- to jab food and raise it to the mouth. Though used in ancient Greece as long kitchen tools to remove meat from boiling cauldrons or a fire, forks were relatively late to catch on in Europe. About 600 years ago, forks started to be employed in Europe to eat candied fruits or to avoid touching foods that could stain the fingers. In the next centuries, table forks evolved from two straight to four curved tines, facilitating scooping and keeping food from falling before it reached the mouth.

According to the passage, the earliest use of forks was

A.	as weapons.
B.	as cooking tools.
C.	to avoid staining fingers.
D.	to raise food to the mouth.
"
13," TO9 A2000503 A
A2090013 A
0013.	People communicate information nonverbally in addition to using words; therefore, being able to interpret body language is an invaluable skill. Widening the eyes while narrowing the brows, for example, suggests that people are afraid. They may also bite their lips if their anxiety is intense. Touching the fingertips of opposite hands together conveys self-assurance. Touching the nose or raising the shoulders suggests they are lying. People under stress may blink their eyes rapidly, or they may squint their eyes or rub their hands together. When there is a discrepancy between what is said verbally and the nonverbal message, the body language is often more accurate.

Based on the passage, which of the following actions suggests a person is being deceptive?

A.	touching the nose
B.	widening the eyes
C.	rubbing hands together
D.	touching fingertips together
"
14," TO9 A3000153 B
A3090014 C
0014.	Growing potatoes in a garbage can is fun and easy. Here's how. About a week before planting, place some seed potatoes in a warm place. When they sprout, cut the potatoes into chunks, two sprouts per chunk. Drill drainage holes at the bottom of a 20-gallon plastic garbage can, and then add 6"" of potting soil. Bury the chunks in the soil, eyes pointed up, about 2"" deep. Water well, then put the garbage can where it will get direct sunlight. When the plants are about 8"" tall, add another layer of soil, so that just the top leaves are exposed. As the plants grow, keep adding soil and water. When the leaves turn yellow and die back, stop watering. Leave the plants alone for three weeks. To harvest, tip the can over and release the potatoes.

According to the passage, what is the first step in growing potatoes in a garbage can?

A.	Bury the chunks of potatoes in 6"" of potting soil.
B.	Drill drainage holes in the bottom of the garbage can.
C.	Place seed potatoes in a warm place until they sprout.
D.	Cut the potatoes into chunks and wait for them to sprout.
"
15," TO9 A3000167 C
A3090015 D
9915.	Rich, creamy cheese flan is delicious and easy to make. First, preheat an oven to 350 degrees. Then make the caramel: Cook 1 cup sugar and one-quarter cup of water in a saucepan and stir until it turns golden brown, about 15 minutes. Quickly pour the caramelized sugar into a deep-dish pie plate, tilting to coat bottom and sides. Next, make the custard: In a blender, mix 8 ounces softened cream cheese, 5 eggs, 14 ounces sweetened condensed milk, 12 ounces evaporated milk, three-quarters cup milk, pinch of salt, and 1 tablespoon vanilla. Pour custard mixture into caramel-coated pie plate. Place pie plate in a large roasting pan. Add hot water to the roasting pan to a depth that is halfway up the side of the pie plate. Bake 2 hours. Carefully remove pie plate from hot water bath. Chill 3 hours.

Which of the following best summarizes the steps in the recipe, from first to last?

A.	Make custard, make caramel, bake, chill.
B.	Make custard, chill, make caramel, bake.
C.	Make caramel, make custard, chill, bake.
D.	Make caramel, make custard, bake, chill.
"
16," TO9 A3000203 B
A3090016 B
9916.	Each time a key is inserted into the ignition of a car, a complex set of steps must take place in order for the engine to start. Before the pistons in an automobile engine can begin moving, and ultimately set the engine in motion, something must act as a source of energy. Originally, a hand crank was used to provide the energy. However, turning the hand crank could be both labor-intensive and dangerous. Fortunately, this process was made easier and safer in 1911 with the invention of the electric starter. The electric starter uses energy from the car's battery to turn a flywheel connected to the engine. This flywheel in turn starts the motion of the pistons. The electric starter made starting a car as easy as turning a key.

Based on the passage, what happens after energy is provided to the pistons of a car?

A.	The key starts the hand crank.
B.	Pistons in the engine begin to move.
C.	Current from the car's battery flows to the starter.
D.	A flywheel connected to the engine begins to turn.
"
17," TO9 A3000217 D
A3090017 D
0017.	During a child's first four years, the brain increases to 80% of its adult weight. Before this rapid brain growth begins in a newborn, some key events in brain development have already taken place even before birth. The neural tube has differentiated into what will soon become the brain. The formation and organization of synapses, which help form connections between nerve impulses, begins. After birth, synaptic density increases quickly at first, but then some of these connections are eliminated due to redundancy or underuse. About three months before birth, myelination of brain neurons begins. Myelination of the brain cells that control basic survival reflexes is nearly complete at birth. However, the final myelination process of the frontal lobes is not complete until early adolescence.

Which of the following events in human brain development occurs prior to birth?

A.	elimination of redundant synapses
B.	growth to 80% of adult brain weight
C.	complete myelination of the frontal lobes
D. 	near complete myelination of survival reflexes
"
18," TO9 A3000241 C
A3090018 C
0018.	Making a football by hand is a many-stepped process, including quality control checks. Here are some of the main steps. First, cut a piece of tanned leather into four identical panels. Next, reduce the panels to the specified thickness and weight. Just before punching holes in two panels to mark the locations of the laces and the insertion point of the inflating needle, sew a lining to each panel. When the football is complete, this lining will prevent the panels from stretching. The next step is to take the panels and sew them together while they are inside-out. Then turn the football right-side out. A rubber bladder is inserted, and the lacing is finally added. The last step is inflating the ball.

Based on the passage, in what order do the main steps occur, before a handmade football is turned right-side out?

A.	insert bladder, add lacing, inflate ball
B.	punch holes, sew panels together, sew in lining
C.	sew in lining, punch holes, sew panels together
D.	sew in lining, sew panels together, insert bladder
"
19," TO9 A3000281 B
A3090019 B
0019.	Although defending a wicket might sound like an unusual thing to do, it is a necessary action when playing the sport of cricket. Cricket is played on a field that has a central area called a pitch. On each end of the pitch is a wicket, composed of three 28-inch-tall wooden stumps on top of which rest two horizontal sticks or bails. Each wicket is protected by a batsman. To start the play, a bowler on the opposing team throws a ball toward one of the wickets in an attempt to knock off the bails. The batsman protecting that wicket tries to hit the ball away from it. If the ball is hit within the field, the batter runs toward the opposite end of the pitch, exchanging positions with the other batsman (a teammate). The batter is out if a player on the bowler's team retrieves the ball and knocks the bails off the wicket before the batter and the teammate reach their destinations.

According to the passage, the bowler begins the game by

A.	hitting the stumps with the bat.
B.	throwing a ball at one of the wickets.
C.	batting the ball away from the wicket.
D.	running to the opposite end of the pitch.
"
20," TO9 A3000283 B
A3090020 A
0020.	One of the most important processes in nature is the water cycle, and it includes several primary steps. When water is released from a cloud, it is called precipitation and might be in the form of rain, sleet, hail, or snow. The precipitation flows downhill (above ground or underground), eventually collecting in rivers, oceans, or other bodies of water. This water is called runoff. Water on the earth's surface is eventually warmed by the sun. The heat changes the liquid water to water vapor. During this step, called evaporation, the water vapor enters the atmosphere in its gaseous, or vaporous, form. As it rises toward the clouds, the water vapor cools and changes into water droplets, which form clouds. This is known as condensation.

According to the passage, which of the following lists the main steps of the water cycle in the correct order?

A.	precipitation, run off, evaporation, condensation
B.	evaporation, precipitation, condensation, run off
C.	condensation, run off, precipitation, evaporation
D.	run off, evaporation, precipitation, condensation
"
21," TO9 A3000291 A
A3090021 A
0021.	Presidential primary elections in the U.S. are held to nominate one candidate from each of the two major political parties to run in the general election. Most people who consider becoming presidential primary candidates try to determine how much voter support they actually have before announcing their intention to run. Although there are some who still start with the traditional announcement, most will create an exploratory committee first. This committee will help the potential candidate by surveying potential voters for their opinions (commonly referred to as an opinion poll). As part of this exploratory phase, potential presidential candidates often travel to different states to meet with possible supporters and start raising money for their campaigns. To officially run for president, an individual must file the appropriate documents with the Federal Election Commission.

According to the passage, the first step taken by most individuals who are considering a run in the presidential primary is to

A.	form a team to investigate the feasibility of a campaign.
B.	declare their candidacy by holding an announcement event. 
C.	win the nomination of one of the two major political parties.
D.	register as a candidate with the Federal Election Commission.
"
22," TO9 A3000310 B
A3090022 B
0022.	Eutrophication occurs when excess nutrients, commonly nitrates and phosphates, are added to an ecosystem. When too many nutrients are present in a body of water, excess algae are produced. Too much algae makes it difficult for an aquatic ecosystem to function properly, as decaying algae use up the oxygen present in the water. Without enough oxygen, other living things, such as fish and shellfish, die out. Furthermore, algae can create toxins that are hazardous to any animal that ingests them. Eutrophication, particularly in lakes, often occurs naturally over time, but all too often this process is accelerated by human activities. The runoff from fertilizer used in farming and the discharge from sewers are two common causes of eutrophication.

Based on the passage, what happens first when excess nutrients are present in an aquatic ecosystem?

A.	Aquatic species begin to die.
B.	Surplus algae are produced.
C.	Oxygen levels are reduced.
D.	Harmful toxins are created.
"
23," TO9 A3000344 B
A3090023 B
0023.	Do-it-yourself projects can sometimes be a nightmare if you don't follow the correct procedures. The mistake that most homeowners make when embarking on these projects is not taking the time for proper planning. When considering any do-it-yourself project, you should first start a list of all the materials and supplies you will need. Then you should conduct some research about the project and gather instructions from credible sources. You will also need to make a list of safety considerations and purchase any safety equipment needed for the project, such as respirators or goggles. After you have gathered your materials and understand the instructions, you can begin work on your project. You'll need to make sure that you are following the steps accurately, or you could find yourself doing them over, affecting your budget and schedule.

According to the passage, what should you do first when starting any do-it-yourself project?

A.	Obtain detailed project instructions.
B.	List the supplies and materials needed.
C.	Research similar do-it-yourself projects.
D.	Purchase any necessary safety equipment.
"
24," TO9 A3000345 B
A3090024 B
0024.	The Cardiff Giant might be one of the greatest archaeological hoaxes ever perpetrated in U.S. history. This giant, said to be the petrified remains of a man, measured 10 feet in height and was unearthed in 1869 in Cardiff, New York. The hoax was instigated by a man named George Hull, who commissioned the carving of a statue from a block of gypsum. The discovery was announced by William C. Newell. Newell claimed the giant was genuine, but he in fact had knowingly arranged with Hull for the fake giant to be buried on his farm. The giant was ""discovered"" by two men hired by Newell to dig a well. Although the statue's authenticity was quickly refuted by scientists, the Cardiff Giant became a profitable tourist attraction. After a few months of attention, the truth about the Cardiff Giant was finally exposed. What once made the giant so appealing to the public dissipated as word spread of the giant's true origin.

Which of the following events happened immediately after Newell hired the well diggers?

A.	People paid to see the giant.
B.	The fake giant was unearthed.
C.	The statue was buried on the farm.
D.	Scientists declared the statue a fake.
"
25," TO9 A3000353 A
A3090025 A
0025.	Making your own paper can be a creative and exciting hobby. Initially you will need to construct a mold, which is simply a piece of wire mesh stapled to a wooden frame. The next step in creating homemade paper is to shred scrap paper into very small pieces, and then place them in a blender with a bit of water to make a paste. Pour the paste into a mixing bowl, and at this point several options will allow you to let your creativity shine. Add fresh flowers or dried herbs, or swirl in food coloring to make your paper unique. Next, pour the mixture into your mold and press down on the mesh firmly with your hand. Let the mixture dry overnight, and then slowly peel it off the wire mesh. Your final product makes a thoughtful, original, and inexpensive gift.

According to the passage, when making homemade paper you should add the optional ingredients immediately after

A.	pouring the paste into a mixing bowl.
B.	peeling the mixture off the wire mesh.
C.	stapling wire mesh to a wooden frame.
D.	adding pieces of scrap paper to a blender.
"
26," TO9 A3000374 C
A3090026 B
0026.	It's difficult to believe a few hundred conquistadors brought an end to the largest empire in South America, but that's close to what occurred when Pizarro of Spain defeated the Inca. Several events weakened the Incan empire before Pizarro's men even took a first shot, though. Beginning in 1438, the Inca conquered most of the tribes in the Andes region. Keeping the territory of the conquered enemies under control required constant vigilance by the small group of Incan rulers. In 1527 smallpox swept through the empire killing thousands, including the Inca king, who died without leaving a successor. The resulting civil war, in which two competitors battled for leadership, debilitated the empire. In 1532 Pizarro ambushed and captured the new Inca king as well as the capital city of Cusco, extracting huge amounts of gold and silver as ransom for the king, who was later executed.

According to the passage, what major event weakened the Inca Empire just before Pizarro's arrival in 1532?

A.	decimation of Incas by a smallpox epidemic
B.	civil war over succession to the Inca throne
C.	capture of the Inca king for gold and silver
D.	expansion of the territory under Inca rule
"
27," TO9 A3000413 B
A3090027 B
0027.	During the Middle Ages when people rarely left their own villages, Marco Polo traveled along old trade routes to visit the court of Kublai Khan, the Mongol ruler of China. An educated young man, Polo knew several languages and so impressed the Khan that he appointed Polo to serve as a member of his court. The Khan sent Polo on several diplomatic missions to many parts of the empire, giving Polo the opportunity to observe many Chinese inventions, such as silk and paper making, and paper currency. At the end of 17 years, Polo wanted to return home to Italy. The Khan granted permission provided Polo first accompany a Mongol princess to Persia, where she was to be married. After arriving home, Polo wrote of his adventures, but his stories seemed so strange that many people refused to believe they were true.

According to the passage, what event occurred just before Marco Polo returned to Italy?

A.	Polo wrote a book about his experiences.
B.	Polo escorted a Mongol princess to Persia.
C.	Polo was sent on diplomatic missions in China.
D.	Polo observed a number of Chinese inventions.
"
28," TO9 A3000504 A
A3090028 A
0028.	Writing can be defined as a system of signs used to record spoken language. Writing developed independently over time -- and in a similar sequence of steps -- all around the globe. In prehistoric times, humans communicated visually through pictographs, drawings that represented objects. In Europe, for example, a circle with lines radiating outward denoted the sun. Gradually people developed ideograms, more abstract symbols to represent concepts. The Aztecs, for instance, used the symbols of a shield and club to signify war. In some parts of the world, people started using logograms, signs that represent words or parts of words but that do not indicate pronunciation. The best known examples are Chinese and Japanese characters. The final development in the history of writing was the alphabet, in which symbols have no meaning but merely stand for different sounds. This principle was applied in the development of writing for many languages.

Based on the passage, what did people typically invent right after they had developed pictographs?

A.	symbols that communicated ideas
B.	characters that represented objects
C.	alphabets that stood for units of sound
D.	logograms that expressed parts of words
"
29," TO9 A3000505 D
A3090029 D
0029.	Wally desperately needed a more reliable car, but he knew he shouldn't take on a new loan until he learned to better manage his finances. So Wally decided to create a personal budget. After pulling together his financial records, he recorded his regular sources of income (cash inflows) in a notebook. Then he jotted down his monthly cash outflows, which he broke down into fixed expenses, including rent and insurance payments; variable spending, including groceries and utility bills; and discretionary spending, including entertainment and recreation. When Wally discovered his outflows exceeded his inflows, he realized that he needed to reduce his discretionary spending or find a way to generate more income. Soon he cancelled his membership to the gym and got a second job, and today Wally is the proud owner of a new car.

Based on the passage, what did Wally do immediately before he realized he was spending more than he made?

A.	decided against borrowing money
B.	reduced his discretionary spending
C.	noted his regular sources of income
D.	recorded his fixed expenses in categories
"
30," TO9 A3000506 D
A3090030 D
0030.	Hired by the Dutch in 1609 to find a shorter route to India, English explorer Henry Hudson sailed west and ended up in New York Bay. Spurred by his reports of the potential for a lucrative fur trade, the Dutch West India Company in 1624 sent settlers to establish a colony named New Amsterdam on what is now Manhattan, New York. Soon after, the Dutch founded other nearby communities on present-day Brooklyn, Queens, Staten Island, and the Bronx, and built a fort to protect the colony from conflicts with the English and Native Americans who opposed further expansion. Then in 1664 British warships appeared in New Amsterdam. Peter Stuyvesant, governor of the colony, was persuaded by a petition of leading citizens to surrender peacefully. The colony was renamed New York after the Duke of York, brother of the British king, and the Dutch influence lingers there today.

Based on the passage, immediately after creating a settlement on what is now Manhattan, the Dutch

A.	sailed into New York Bay.
B.	petitioned the Duke of York.
C.	were attacked by British warships.
D.	established additional communities.
"
31," TO9 A3000507 D
A3090031 D
0031.	When traveling, it can be helpful to limit oneself to a single piece of luggage. To be successful with this strategy, it is important to learn how to pack efficiently. Begin by laying everything you plan to take on the bed. Then roll each item of clothing into a neat cylinder to maximize space and minimize wrinkles. Stuff socks and underwear into shoes and place them around the edges of your suitcase. Next, place the rolls of heavier clothes, such as pants and jackets, in your bag; follow up with the rolls of lighter-weight items, such as shirts and tops, to form a second layer. Fill in small spaces with belts, chargers, and other little accessories. After placing travel-size toiletries in an air-tight bag, set it on the top. Finally, secure the internal straps to keep items from shifting during travel.

According to the author, immediately after packing shoes in your suitcase you should

A.	fill in spaces with small accessories.
B.	roll all items of clothing into cylinders.
C.	form a second layer with shirts and tops.
D.	place rolls of heavier clothes in your bag.
"
32," TO9 A3000509 A
A3090032 A
0032.	In natural ecosystems, you will find plants that are perfectly adapted to the existing soil conditions. When creating a backyard vegetable garden, however, your soil will probably need some help. Begin by testing the nutrient levels of your soil with a soil test kit to determine if any soil amendments are needed. After removing existing weeds and other unwanted plant material, loosen the soil by digging down several inches and turning over the soil with a shovel. Renting a rototiller will make this step much easier. The fourth step is to add compost and any nutrients to the soil as determined by the soil test. Mix these amendments into the top 6 to 12 inches of soil. Next, create a smooth, uniform surface by raking the soil and removing any sticks, rocks, or other debris as you go. This sounds like a lot of work, but remember that healthy plants grow in healthy soil!

According to the passage, what should you do just before adding soil amendments?

A.	loosen the soil
B.	rake the surface of the soil
C.	remove any weeds from the soil
D.	test the nutrient levels in the existing soil
"
33," TO9 B1000114 B
B1090033 B
0033.	One day in 1925 while poet Vachel Lindsay was eating dinner at a hotel in Washington, D.C., a bus boy slipped three poems under his plate. Lindsay was so impressed by the poems that he shared them with his audience during a reading later that evening. The next day newspapers across the country reported Lindsay's discovery of the ""bus boy poet."" In 1926 the bus boy, Langston Hughes, went on to publish his first collection of poetry, The Weary Blues, which attracted considerable attention for its innovative use of musical rhythm, inclusion of blues lyrics, and its focus on the strength and determination of black people in America. In the years following his encounter with Lindsay, Hughes became one of the leading writers of the Harlem Renaissance, a cultural movement in the 1920s when African-American art, music, and literature flourished.

The passage suggests that poet Vachel Lindsay

A.	published Hughes's first poems.
B.	helped Hughes become widely recognized.
C.	taught Hughes how to fuse musical rhythms and verse.
D.	recognized Hughes as a leading poet of the Harlem Renaissance.
"
34," TO9 B1000124 B
B1090034 B
0034.	At the beginning of the twentieth century, automobiles were considered luxury items for the rich. That changed in 1908 when industrialist Henry Ford introduced the Model T. With a purchase price of $825, the Model T was a practical and reliable means of transportation that the average worker could afford. Then in 1913 Ford revolutionized the industry by adopting the moving assembly line, which decreased production time dramatically, thus lowering the price of a Model T even further. Sales skyrocketed. The 20 horsepower engine yielded a top speed of 45 miles per hour; several models were available, all built with the same engine and frame. During the 1920s, however, the market share of the Model T began to decline. It could not compete with automakers offering bigger, more powerful, or more luxurious cars; and its production was halted in 1927.

The passage suggests that the Model T was

A.	a status symbol for the wealthy.
B.	the first car to be mass produced.
C.	available in several engine sizes.
D.	more powerful than previous cars.
"
35," TO9 B1000134 A
B1090035 A
0035.	Noh drama, which developed as a form of theater in fourteenth-century Japan and incorporated Buddhist teachings, continues in virtually the same form today. The performance combines acting, singing, music, and dance to tell a story, which is usually taken from traditional literature. The tone is serious, the content usually tragic. The stage, a square wooden platform, is undecorated except for a single pine tree painted onto the backdrop. There are generally only two actors. The supporting actor opens the drama by describing the scene. The principal actor wears a mask and reenacts the tale, using highly stylized movements, while the chorus, seated at the edge of the stage, sings the lines to the accompaniment of a flute and drums. A Noh program lasts all day and includes several works, interspersed with brief, one-act plays to provide comic relief.

The passage suggests that Noh drama

A.	follows rigid traditional rules.
B.	is no longer performed in Japan.
C.	involves a large cast of performers.
D.	is characterized by realism and humor.
"
